model,katman,katman_ad,n_noron,pencere,seyreklik,k,birlesim,rastgele,bagimsizlik,ardisik_jaccard
Qwen2.5-0.5B,0,model.layers.0.mlp.down_proj,4864,0,0.1,1,0.0999177631578947,0.09999999999999998,-82236.84210530158,0.10044992928548704
Qwen2.5-0.5B,0,model.layers.0.mlp.down_proj,4864,0,0.1,2,0.181723304408281,0.18999999999999995,0.9080367156475672,0.10044992928548704
Qwen2.5-0.5B,0,model.layers.0.mlp.down_proj,4864,0,0.1,3,0.251936597007224,0.2709999999999999,0.8885181111533571,0.10044992928548704
Qwen2.5-0.5B,0,model.layers.0.mlp.down_proj,4864,0,0.1,4,0.3133134823182711,0.3439,0.874594023445146,0.10044992928548704
Qwen2.5-0.5B,0,model.layers.0.mlp.down_proj,4864,0,0.1,6,0.4140625,0.46855899999999995,0.8521362929680188,0.10044992928548704
Qwen2.5-0.5B,0,model.layers.0.mlp.down_proj,4864,0,0.1,8,0.49461063705054714,0.5695327899999999,0.840432543700616,0.10044992928548704
Qwen2.5-0.5B,0,model.layers.0.mlp.down_proj,4864,0,0.2,1,0.1998355263157894,0.19999999999999996,-164473.68421060315,0.15246524860773167
Qwen2.5-0.5B,0,model.layers.0.mlp.down_proj,4864,0,0.2,2,0.34696423743433924,0.3599999999999999,0.918526483964621,0.15246524860773167
Qwen2.5-0.5B,0,model.layers.0.mlp.down_proj,4864,0,0.2,3,0.4608097103973168,0.4879999999999999,0.9055892722129059,0.15246524860773167
Qwen2.5-0.5B,0,model.layers.0.mlp.down_proj,4864,0,0.2,4,0.550809120049633,0.5903999999999999,0.8985889345533634,0.15246524860773167
Qwen2.5-0.5B,0,model.layers.0.mlp.down_proj,4864,0,0.2,6,0.679300240709021,0.7378559999999998,0.8911311591002444,0.15246524860773167
Qwen2.5-0.5B,0,model.layers.0.mlp.down_proj,4864,0,0.2,8,0.7658631611516415,0.8322278399999999,0.8950304389500495,0.15246524860773167
Qwen2.5-0.5B,0,model.layers.0.mlp.down_proj,4864,0,0.3,1,0.29995888157894735,0.30000000000000004,-41118.42105264385,0.2135860981704922
Qwen2.5-0.5B,0,model.layers.0.mlp.down_proj,4864,0,0.3,2,0.49449568377278813,0.51,0.9261699227275625,0.2135860981704922
Qwen2.5-0.5B,0,model.layers.0.mlp.down_proj,4864,0,0.3,3,0.6282032056243549,0.657,0.9193367104323668,0.2135860981704922
Qwen2.5-0.5B,0,model.layers.0.mlp.down_proj,4864,0,0.3,4,0.7222951510960604,0.7599,0.9182325529377263,0.2135860981704922
Qwen2.5-0.5B,0,model.layers.0.mlp.down_proj,4864,0,0.3,6,0.8385128756617876,0.882351,0.9247221618264373,0.2135860981704922
